step,node_index,x,y,step_distance,cumulative_distance
0,0,52.363599,87.186678,0.0,0.0
1,30,189.06187,88.157295,136.701717,136.701717
2,55,234.963437,78.376478,46.932061,183.633777
3,6,245.163353,1.670554,77.381116,261.014893
4,23,374.521632,31.841307,132.830112,393.845006
5,63,386.246163,62.055765,32.409537,426.254543
6,7,436.275793,87.6135,56.179727,482.43427
7,43,420.357317,108.620834,26.357276,508.791546
8,1,407.241764,107.700235,13.147822,521.939369
9,60,389.259267,126.469959,25.993706,547.933075
10,37,483.811483,177.589731,107.486523,655.419598
11,74,506.301487,203.272051,34.13769,689.557288
12,70,514.71914,137.371498,66.435983,755.99327
13,8,597.599464,69.876961,106.886204,862.879474
14,31,628.317523,12.829109,64.792411,927.671886
15,26,658.074157,170.126888,160.087627,1087.759513
16,92,695.782174,122.316321,60.891254,1148.650767
17,39,751.650158,44.129856,96.095551,1244.746318
18,68,791.109158,28.258034,42.531487,1287.277805
19,56,878.908937,57.159213,92.434189,1379.711994
20,2,901.198878,38.153666,29.29253,1409.004524
21,76,938.262489,80.361813,56.171513,1465.176037
22,10,905.398652,92.764561,35.126342,1500.302379
23,4,852.086619,159.662397,85.542348,1585.844727
24,24,754.173172,181.464916,100.31148,1686.156207
25,85,776.954442,256.851738,78.753789,1764.909996
26,96,770.285967,343.033283,86.439153,1851.349149
27,50,750.814941,334.830541,21.128318,1872.477467
28,54,679.051952,372.109619,80.868142,1953.345609
29,67,668.834354,303.805779,69.063839,2022.409448
30,36,629.99071,233.373184,80.433694,2102.843142
31,13,573.408086,265.321705,64.979238,2167.82238
32,29,573.168515,336.106099,70.784799,2238.60718
33,3,536.20204,332.197699,37.172514,2275.779694
34,87,486.119958,395.813315,80.963953,2356.743647
35,95,420.76167,358.670557,75.175065,2431.918712
36,32,351.913683,229.129764,146.699905,2578.618617
37,73,340.080851,271.751388,44.233683,2622.8523
38,5,337.216657,333.796395,62.111081,2684.963382
39,27,336.916153,391.193307,57.397699,2742.361081
40,75,322.057227,398.170181,16.415372,2758.776453
41,18,315.263152,398.238151,6.794415,2765.570868
42,9,315.458974,448.321708,50.08394,2815.654807
43,81,341.144246,537.681998,92.978463,2908.63327
44,51,348.367021,639.127937,101.702739,3010.336009
45,94,361.841075,668.947293,32.722227,3043.058236
46,53,419.037819,717.717907,75.166751,3118.224986
47,84,483.959038,730.560328,66.179244,3184.404231
48,33,531.997491,723.663351,48.531034,3232.935264
49,22,486.13647,668.470222,71.760119,3304.695384
50,71,500.122511,545.457741,123.805007,3428.500391
51,57,518.696125,537.536378,20.192254,3448.692645
52,91,609.157786,494.474421,100.188044,3548.880689
53,19,769.27909,512.752134,161.161121,3710.04181
54,38,991.957773,444.49992,232.903758,3942.945568
55,61,974.929566,517.103487,74.573706,4017.519275
56,34,909.153276,638.800839,138.3357,4155.854975
57,86,832.777044,577.944173,97.656861,4253.511836
58,20,684.837219,638.353264,159.798155,4413.309991
59,97,753.713959,820.478126,194.713818,4608.023809
60,14,837.837644,768.794747,98.731788,4706.755597
61,90,898.268251,790.526029,64.219209,4770.974806
62,59,915.823194,776.13297,22.701017,4793.675823
63,82,929.374321,809.019431,35.568981,4829.244804
64,52,969.686077,883.880138,85.024485,4914.269289
65,78,995.265014,890.808702,26.500698,4940.769987
66,35,991.7931,964.059172,73.332705,5014.102692
67,25,820.190184,913.645912,178.85485,5192.957542
68,66,740.164509,980.439147,104.237445,5297.194987
69,21,666.657631,890.098571,116.46751,5413.662497
70,62,629.617625,802.276646,95.313444,5508.975941
71,83,534.183414,786.080054,96.798855,5605.774795
72,17,527.074952,809.338525,24.320499,5630.095294
73,69,521.590772,871.394668,62.298003,5692.393297
74,48,404.207267,985.348175,163.597949,5855.991246
75,72,369.000548,893.43356,98.42667,5954.417917
76,65,349.539686,871.077208,29.640035,5984.057952
77,15,343.462158,801.496591,69.845533,6053.903485
78,98,180.676053,977.230443,239.544782,6293.448267
79,12,21.235975,911.150548,172.59111,6466.039377
80,93,52.435371,861.647073,58.514924,6524.554301
81,11,142.175064,790.071844,114.787743,6639.342044
82,47,73.483993,694.205915,117.93532,6757.277364
83,64,136.015791,668.447137,67.629435,6824.906799
84,58,146.139234,655.931717,16.097199,6841.003999
85,89,126.106229,634.782754,29.130738,6870.134736
86,16,206.862471,608.902526,84.801867,6954.936604
87,79,194.163295,564.62449,46.063147,7000.999751
88,88,224.149807,501.257553,70.10392,7071.103671
89,49,262.54002,472.51074,47.960272,7119.063943
90,42,271.929852,434.268584,39.378059,7158.442002
91,41,256.362347,352.04753,83.681831,7242.123833
92,45,88.788905,433.200314,186.189776,7428.313609
93,28,73.290778,456.76707,28.206098,7456.519707
94,46,8.561215,535.801019,102.158119,7558.677826
95,99,62.44219,414.727355,132.521664,7691.19949
96,44,62.608775,355.061447,59.666141,7750.865631
97,80,85.100029,317.028203,44.185792,7795.051423
98,77,197.094869,199.499345,162.344931,7957.396354
99,40,134.727601,193.17697,62.686909,8020.083263
100,0,52.363599,87.186678,134.230291,8154.313553
