step,x,y,step_distance,cumulative_distance,prev_x,prev_y,knn_k,knn1_x,knn1_y,knn1_distance,knn2_x,knn2_y,knn2_distance,knn3_x,knn3_y,knn3_distance,knn4_x,knn4_y,knn4_distance,knn5_x,knn5_y,knn5_distance
1,882.8321850718597,794.7901585625868,53.218668,53.218668,844.4218515250482,757.9544029403024,5,888.7720676319877,779.3957106948857,16.500643,875.0163314802711,812.414932363759,19.280047,899.0080380310076,818.1183809177941,28.387747,844.4218515250482,757.9544029403024,53.218668,923.3810159462806,842.4602231401824,62.583087
2,875.0163314802711,812.414932363759,19.280047,72.498715,882.8321850718597,794.7901585625868,5,882.8321850718597,794.7901585625868,19.280047,899.0080380310076,818.1183809177941,24.660319,888.7720676319877,779.3957106948857,35.769949,923.3810159462806,842.4602231401824,56.937353,844.4218515250482,757.9544029403024,62.465762
3,899.0080380310076,818.1183809177941,24.660319,97.159034,875.0163314802711,812.414932363759,5,875.0163314802711,812.414932363759,24.660319,882.8321850718597,794.7901585625868,28.387747,923.3810159462806,842.4602231401824,34.446587,888.7720676319877,779.3957106948857,40.052719,844.4218515250482,757.9544029403024,81.23642
4,923.3810159462806,842.4602231401824,34.446587,131.60562,899.0080380310076,818.1183809177941,5,899.0080380310076,818.1183809177941,34.446587,875.0163314802711,812.414932363759,56.937353,882.8321850718597,794.7901585625868,62.583087,888.7720676319877,779.3957106948857,71.936861,999.6851255769113,873.1472390917929,82.243602
5,999.6851255769113,873.1472390917929,82.243602,213.849222,923.3810159462806,842.4602231401824,5,996.2578393535726,916.941217947456,43.927883,923.3810159462806,842.4602231401824,82.243602,946.502554169996,938.4387997349186,84.210295,956.4683485665337,954.7176774381221,92.311571,929.7598506094264,934.0763496652581,92.746432
6,996.2578393535726,916.941217947456,43.927883,257.777105,999.6851255769113,873.1472390917929,5,999.6851255769113,873.1472390917929,43.927883,946.502554169996,938.4387997349186,54.200871,956.4683485665337,954.7176774381221,54.865877,978.4545513570129,971.8665573793185,57.738635,929.7598506094264,934.0763496652581,68.670192
7,978.4545513570129,971.8665573793185,57.738635,315.51574,996.2578393535726,916.941217947456,5,956.4683485665337,954.7176774381221,27.883278,937.1268442154698,958.1478949874976,43.545161,946.502554169996,938.4387997349186,46.242244,996.2578393535726,916.941217947456,57.738635,919.2823534016137,962.2424865104192,59.949744
8,956.4683485665337,954.7176774381221,27.883278,343.399018,978.4545513570129,971.8665573793185,5,946.502554169996,938.4387997349186,19.08714,937.1268442154698,958.1478949874976,19.643324,978.4545513570129,971.8665573793185,27.883278,929.7598506094264,934.0763496652581,33.755122,919.2823534016137,962.2424865104192,37.939702
9,946.502554169996,938.4387997349186,19.08714,362.486158,956.4683485665337,954.7176774381221,5,929.7598506094264,934.0763496652581,17.301708,956.4683485665337,954.7176774381221,19.08714,937.1268442154698,958.1478949874976,21.825498,922.8805831375125,935.7547693309532,23.773968,919.2823534016137,962.2424865104192,36.160128
10,937.1268442154698,958.1478949874976,21.825498,384.311657,946.502554169996,938.4387997349186,5,919.2823534016137,962.2424865104192,18.308237,956.4683485665337,954.7176774381221,19.643324,946.502554169996,938.4387997349186,21.825498,929.7598506094264,934.0763496652581,25.173635,913.0110532378982,966.6063677707588,25.556157
